Question	Document ID	Title	RAG+RAIN_correctness_readability_READABILITY
Can I delete my old calendar history?	privacy-FAQ-5	Privacy FAQ	" Yes, you can delete your calendar events one by one, by date range, or all at once by visiting the Calendar section in the Alexa app or on the Amazon website. You can also choose to have your calendar events older than 3 or 18 months deleted automatically.
"
Do I have choice or control options for my contacts' information?	privacy-Notice-9	Privacy Notice	" Yes, you can manage your contacts in the ""Your Account"" section of the website. You can add, update, or delete contacts. If you don't want Alexa to access your contacts, you can adjust your settings in the Alexa app or on your device.
"
Can I hide my email address?	privacy-FAQ-7	Privacy FAQ	" You can manage your email address and other contact information in the ""Your Account"" section of the website. However, you cannot hide it entirely as we use it to communicate with you about your orders, account activity, and other important information.
"
I want to change my name.	privacy-Notice-8	Privacy Notice	" To change your name in your Amazon account, go to the ""Your Account"" section of the website. Click on the ""Personal Information"" tab, then select ""Edit"" next to your name. Make the desired changes and click ""Save and Continue"" to complete the process.
"
I want to edit my phone number.	privacy-Notice-8	Privacy Notice	" To edit your phone number, you can go to the ""Your Account"" section of the Amazon website and click on the ""Contact Information"" tab. From there, you can update your phone number and other contact details.
"
Can you delete information about my time zone?	privacy-FAQ-5	Privacy FAQ	" I'm unable to delete specific types of information for you. However, you can manage your content and devices associated with your account to delete certain information. For example, you can delete your location information in the Alexa app under Settings > Location.
"
Can you delete my voice recordings?	privacy-FAQ-5	Privacy FAQ	" Yes, you can delete your voice recordings one by one, by date range, by Alexa-enabled device, or all at once. You can also choose to have your voice recordings older than 3 or 18 months deleted automatically. If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests and all of the voice recordings currently in your Voice History as well.
"
Are you sharing my age with others?	privacy-Notice-5	Privacy Notice	" No, we do not share your age with others unless you give us permission or when required by law.
"
Who can access information about my appointments?	privacy-Notice-8	Privacy Notice	" We do not collect or store information about your appointments. The information you can access in your account includes your name, address, payment options, profile information, Prime membership, household settings, and purchase history. For more information, you can refer to the sources provided.
"
Does the company share user's contacts' information with a third party?	privacy-Notice-5	Privacy Notice	" Amazon shares customers' personal information with third parties only as described in their privacy notice. For instance, when you order products from third-party sellers through Amazon's stores, your personal information related to those transactions is shared with the third party. Additionally, Amazon employs other companies and individuals to perform functions on their behalf, and these third-party service providers have access to personal information needed to perform their functions but may not use it for other purposes.
"
Does it save my email contacts and sell it to 3rd parties?	privacy-Notice-5	Privacy Notice	" Amazon Europe does not sell your personal information, including your email contacts, to third parties without your consent. However, as mentioned in the sources, Amazon may share your personal information with third parties for specific purposes, such as providing services on Amazon's behalf or in the context of a business transfer. These third parties are required to process the personal information in accordance with applicable data protection laws and Amazon's privacy notice.
"
Do you share my location with other people?	privacy-Notice-5	Privacy Notice	" Amazon does not share your precise location with third parties without your consent, except as necessary to provide you with the services and features you request. For example, if you use the location feature in the Alexa app to order a ride, we will share your location with the ride service provider to help them identify your pickup location.
"
Are you sharing my name?	privacy-Notice-5	Privacy Notice	" Amazon Europe shares your personal information only as described in their privacy notice. This includes transactions involving third parties, third party service providers, business transfers, and protection of Amazon Europe and others. However, they will give you notice and an opportunity to choose not to share the information if it is going to be shared with third parties for other purposes.
"
Who has access to my phone number?	privacy-Notice-8	Privacy Notice	" Your phone number, like other personal information, is accessible to Amazon employees and contractors who need it to provide and improve the services we offer you. This includes, for example, customer service representatives and technical support specialists. It may also be shared with third parties as described in our privacy policy, such as when you order products from third-party sellers through our stores or use third-party skills through our Alexa services.
"
Who has access to my time zone?	privacy-Notice-8	Privacy Notice	" Your time zone is a piece of information that you can manage in the ""Your Account"" section of the Amazon website. It is used to provide you with accurate information about the status of your orders and deliveries, as well as to personalize other features and services. Access to this information is limited to authorized Amazon employees, contractors, and third-party service providers who need it to provide services to Amazon or to you.
"
Who can access my voice recordings?	privacy-FAQ-7	Privacy FAQ	" Your voice recordings are associated with your Amazon account and can be accessed by you through the Alexa Privacy settings in the Alexa app or at https://www.amazon.com/alexaprivacysettings. Amazon employees do have access to voice recordings for the purpose of improving Alexa's speech recognition and natural language understanding. However, access to voice recordings is limited to a small number of employees who are trained for this purpose and who are required to adhere to strict internal policies.
"
What does the privacy policy say in regards to saving my name?	privacy-Notice-11	Privacy Notice	" According to the privacy policy, your personal information is kept to enable your continued use of Amazon Services, for as long as it is required in order to fulfill the relevant purposes described in the policy. Your name is likely saved to identify you and to provide you with a personalized experience.
"
What is the latest privacy policy in regards to processing my voice?	privacy-FAQ-6	Privacy FAQ	" According to the latest privacy policy, Amazon collects and processes voice recordings and text transcripts of your interactions with Alexa to improve its speech recognition and natural language understanding systems. These recordings are used to help Alexa understand the correct interpretation of your requests and provide the appropriate response. Amazon uses a combination of human review and automated systems to review and delete voice recordings. You can manage the use of your voice recordings by visiting Settings > Alexa Privacy > Manage Your Alexa Data in the Alexa app.
"
Why do you know my age?	privacy-Notice-8	Privacy Notice	" We don't have access to your age. The information we collect includes your name, address, payment options, profile information, and purchase history, but it does not include your age.
"
Why do you know my calendar appointments?	privacy-Notice-8	Privacy Notice	" We do not access or store your calendar information unless you have given us permission to do so. If you use the Alexa Calendar Skill, you can add, modify, and delete calendar events, and Alexa can read your calendar events to you.
"
Why is all my contacts' personal information needed?	privacy-Notice-2	Privacy Notice	" We collect and use your personal information to provide, troubleshoot, and improve Amazon Services. This includes your interaction with content and services available through Amazon Services. When you use Alexa to call or message your contacts, we process your contacts' personal information to enable and improve this functionality. We do not use this information for advertising or other purposes without your consent.
"
Why did you add all my contacts' phone numbers to my contact book?	privacy-Notice-3	Privacy Notice	" I apologize for any confusion. Amazon does not add your contacts' phone numbers to your contact book without your consent. However, if you have given consent, we may use your contacts to help you find and connect with them in Alexa or other Amazon Services.
"
Why do you know my email address?	privacy-Notice-8	Privacy Notice	" We use your email address to communicate with you, for example, to send you updates about your orders, notifications about special offers, and other important information related to your Amazon account.
"
Why do you know my location?	privacy-Notice-8	Privacy Notice	" We use your location to provide and improve our services. For example, we use your location to determine the delivery address for your orders, to provide location-based services, and to personalize your shopping experience.
"
For what purpose is my name collected?	privacy-Notice-3	Privacy Notice	" Your name is used for several purposes. One of them is to personalize your experience with Amazon Services. For instance, Alexa can call you by name and you can create a voice ID for a more personalized experience. Additionally, your name is used for communication purposes, such as when we need to contact you about your orders or account information. It may also be used for fraud prevention and credit risk assessment.
"
What do you need my phone number for?	privacy-Notice-8	Privacy Notice	" We use your phone number to communicate with you about your orders, deliveries, and other important information related to your Amazon account. We may also use it to contact you if we need to resolve a problem with your order or if there's an issue with your account.
"
Do you need to know my time zone?	privacy-Notice-8	Privacy Notice	" Yes, knowing your time zone helps us to deliver information and services relevant to your location. For example, it allows us to provide you with local weather updates, news, and promotions.
"
Why do you record my voice?	privacy-FAQ-1	Privacy FAQ	" We record your voice to provide and improve our services. For example, we use your voice recordings to process your requests to Alexa, like playing music or setting alarms. We also use your voice recordings to improve Alexa's speech recognition and natural language understanding systems using machine learning. This helps Alexa understand and respond to a wide range of customer requests and improve over time.
"
Can the assistant pull information from my phone's calendar?	privacy-Notice-8	Privacy Notice	" Yes, with your permission, Alexa can access your calendar on your phone to help you manage your schedule. You can ask Alexa to add, modify, or delete calendar events. For example, you can say ""Alexa, add a doctor's appointment to my calendar on Friday at 2 PM.""
"
Does the assistant have access to my contacts?	privacy-Notice-8	Privacy Notice	" No, by default, Alexa does not access your contacts. However, you can give Alexa permission to access your contacts to make calls or send messages on your behalf. You can manage these permissions in the Alexa app.
"
What's my address?	privacy-Notice-8	Privacy Notice	" To provide you with the service, we need to have your address to deliver your orders. You can check your current address in the ""Your Account"" section of the Amazon website.
"
What is my name?	privacy-Notice-8	Privacy Notice	" I'm unable to access or disclose your personal information without your authorization. You can view and manage your personal information, including your name, in the ""Your Account"" section of the website.
"
Do you know my phone number?	privacy-Notice-8	Privacy Notice	" I don't have access to specific customer data unless it has been shared with me in the course of providing answers to your questions. However, I can tell you that your phone number is one type of personal information that Amazon collects in order to provide and continually improve its products and services. It can be used for account registration, order processing, and communication with you about your orders, among other things.
"
How do you process my audio recordings?	privacy-FAQ-6	Privacy FAQ	" When you make a request to Alexa, a recording of your request is sent to Amazon's cloud, where we process your request and other information to respond to you. For example, when you ask, ""Alexa, play top hits on Amazon Music,"" we use the recording of your request and information from Amazon Music to play top hits.
"
Does the assistant turn on my mic without my knowledge?	privacy-FAQ-4	Privacy FAQ	" No, the assistant does not turn on your mic without your knowledge. The device detects the wake word by identifying acoustic patterns that match the wake word. No audio is stored or sent to the cloud unless the device detects the wake word or you press the action button. You can also turn off the microphone by pressing the microphone off button.
"
Is my calendar stored on the device?	privacy-FAQ-1	Privacy FAQ	" By default, Alexa does not access or store your calendar data on your device. However, you can allow Alexa to access your calendar data in the cloud, such as from Google Calendar or Microsoft Outlook, so Alexa can provide you with calendar information, such as upcoming appointments and reminders.
"
Do they keep my contacts' information?	privacy-Notice-11	Privacy Notice	" Yes, they might receive information about your contacts from other sources, such as updated delivery and address information from their carriers, which they use to correct their records and deliver your next purchase more easily. However, they do not share this information with third parties for marketing purposes without your consent.
"
How long will my location history be kept?	privacy-Notice-11	Privacy Notice	" We keep your location history for as long as it is required in order to fulfil the relevant purposes described in our Privacy Notice, or as otherwise communicated to you. For example, we use location information to provide location-based services, such as traffic updates, and to improve the relevancy of products and content we recommend.
"
How can you guarantee my location information is secure?	privacy-Notice-6	Privacy Notice	" We maintain physical, electronic, and procedural safeguards in connection with the collection, storage, and disclosure of your personal information, including your location data. We follow industry-standard security measures to protect against unauthorized access to our systems. We also offer security features to protect your devices against unauthorized access and loss of data. You can control these features and configure them based on your needs.
"
For how long would my name be stored in the database?	privacy-Notice-11	Privacy Notice	" According to Source 1, your personal information, including your name, is kept to enable your continued use of Amazon Services, for as long as it is required in order to fulfill the relevant purposes described in Amazon's Privacy Notice, or as otherwise communicated to you.
"
Is the information on my time zone stored?	privacy-Notice-8	Privacy Notice	" Yes, we collect and store information about your time zone to provide you with the most accurate and relevant information and services. For example, we use your time zone to determine when to send you notifications or to display localized information.
"
Do you store my voice recordings locally or on a server?	privacy-FAQ-7	Privacy FAQ	" Alexa is designed to process your voice recordings in the cloud to provide and improve our services. However, you can turn on Do Not Send Voice Recordings, so the audio of your requests to Alexa will be processed on device and not sent to the cloud. A text transcript of your request will still be sent to the cloud so Alexa can respond to your request. You will be able to review and delete those transcripts in your Voice History.
"
